market,code,symbol,name,group,industry,style,has_options,note
A股,600519,600519,贵州茅台,核心持仓,白酒,大盘价值/消费,false,
A股,300750,300750,宁德时代,核心持仓,电池/新能源,成长,false,
A股,601318,601318,中国平安,核心持仓,保险,大盘价值,false,
A股,600036,600036,招商银行,核心持仓,银行,大盘价值/红利,false,
A股,600900,600900,长江电力,核心持仓,公用事业/水电,高股息/防御,false,
A股,002594,002594,比亚迪,观察池,新能源车,成长/制造,false,
A股,688981,688981,中芯国际,观察池,半导体,成长/科技,false,
A股,603501,603501,韦尔股份,观察池,半导体设计,成长,false,
A股,300059,300059,东方财富,观察池,券商/金融科技,成长,false,
A股,000858,000858,五粮液,观察池,白酒,大盘价值/消费,false,
A股,601012,601012,隆基绿能,观察池,光伏,周期成长,false,
A股,002415,002415,海康威视,观察池,安防/AI,价值成长,false,
A股,510300,510300,沪深300ETF,行业基准,宽基指数,大盘基准,true,300ETF期权标的（上交所）
A股,510050,510050,上证50ETF,行业基准,宽基指数,大盘基准,true,50ETF期权标的（上交所）
A股,159915,159915,创业板ETF,行业基准,宽基指数,成长基准,false,
A股,588000,588000,科创50ETF,行业基准,宽基指数,科技基准,true,科创50ETF期权标的（上交所）
A股,512880,512880,证券ETF,行业基准,行业指数,金融基准,false,
港股,00700,00700,腾讯控股,核心持仓,互联网/游戏,大盘成长,false,
港股,09988,09988,阿里巴巴-W,核心持仓,互联网/电商,大盘成长,false,
港股,03690,03690,美团-W,核心持仓,本地生活,大盘成长,false,
港股,00939,00939,建设银行,核心持仓,银行,大盘价值/H股,false,
港股,01810,01810,小米集团-W,观察池,消费电子/汽车,成长,false,
港股,01024,01024,快手-W,观察池,短视频,成长,false,
港股,09618,09618,京东集团-SW,观察池,电商,大盘成长,false,
港股,02015,02015,理想汽车-W,观察池,新能源车,成长,false,
港股,00981,00981,中芯国际,观察池,半导体,成长,false,
港股,00388,00388,香港交易所,观察池,交易所/金融,垄断/大盘,false,
港股,02800,02800,盈富基金,行业基准,恒生指数,港股大盘基准,false,
港股,03033,03033,南方恒生科技,行业基准,恒生科技,港股科技基准,false,
港股,02822,02822,南方A50,行业基准,A50指数,A股基准（港股上市）,false,
美股,AAPL,AAPL,苹果,核心持仓,消费电子/硬件,大盘成长,true,
美股,MSFT,MSFT,微软,核心持仓,软件/云,大盘成长,true,
美股,NVDA,NVDA,英伟达,核心持仓,AI芯片,成长/AI,true,
美股,GOOGL,GOOGL,谷歌-A,核心持仓,互联网/搜索,大盘成长,true,
美股,TSLA,TSLA,特斯拉,观察池,电动车,高波动成长,true,
美股,META,META,Meta平台,观察池,社交媒体/AI,大盘成长,true,
美股,AMZN,AMZN,亚马逊,观察池,电商/云,大盘成长,true,
美股,AMD,AMD,超威半导体,观察池,芯片,成长,true,
美股,NFLX,NFLX,奈飞,观察池,流媒体,成长,true,
美股,BRK.B,BRK.B,伯克希尔-B,观察池,保险/多元投资,大盘价值,true,
美股,SPY,SPY,标普500ETF,行业基准,宽基指数,美股大盘基准,true,
美股,QQQ,QQQ,纳指100ETF,行业基准,宽基指数,美股成长基准,true,
美股,IWM,IWM,罗素2000ETF,行业基准,小盘指数,美股小盘基准,true,
美股,DIA,DIA,道指ETF,行业基准,蓝筹指数,美股价值基准,true,
虚拟货币,BTC/USDT,BTC/USDT,比特币,核心持仓,加密资产,市值第一/数字黄金,true,Deribit/Bybit 期权
虚拟货币,ETH/USDT,ETH/USDT,以太坊,核心持仓,加密资产,公链龙头,true,Deribit/Bybit 期权
虚拟货币,SOL/USDT,SOL/USDT,索拉纳,观察池,公链,高波动成长,true,
虚拟货币,BNB/USDT,BNB/USDT,币安币,观察池,交易所代币,平台币,false,
虚拟货币,XRP/USDT,XRP/USDT,瑞波币,观察池,支付,老牌币种,false,
虚拟货币,DOGE/USDT,DOGE/USDT,狗狗币,观察池,Meme币,高波动投机,false,
虚拟货币,INDEX:TOTAL,INDEX:TOTAL,加密货币总市值,行业基准,全市场指数,加密市场基准,false,CoinGecko 指数（非交易标的）
虚拟货币,INDEX:BTCD,INDEX:BTCD,BTC主导率,行业基准,市场结构,情绪基准,false,CoinGecko 指标
期权,510050,510050,上证50ETF,期权工具,场内期权标的,50ETF期权（上交所）,true,波动率/对冲监控
期权,510300,510300,沪深300ETF(华泰柏瑞),期权工具,场内期权标的,300ETF期权（上交所）,true,波动率/对冲监控
期权,159919,159919,沪深300ETF(嘉实),期权工具,场内期权标的,300ETF期权（深交所）,true,波动率/对冲监控
期权,588000,588000,科创50ETF(华夏),期权工具,场内期权标的,科创50ETF期权（上交所）,true,波动率/对冲监控
期权,000300,000300,沪深300指数,期权工具,股指期权标的,中金所IO期权,true,指数期权基准
期权,000852,000852,中证1000指数,期权工具,股指期权标的,中金所IM期权,true,指数期权基准
期权,AAPL,AAPL,苹果,期权工具,美股个股期权,高流动性期权链,true,Yahoo 期权链
期权,NVDA,NVDA,英伟达,期权工具,美股个股期权,高IV个股期权,true,Yahoo 期权链
期权,TSLA,TSLA,特斯拉,期权工具,美股个股期权,高IV个股期权,true,Yahoo 期权链
期权,SPY,SPY,标普500ETF,期权工具,美股ETF期权,全球流动性最高期权,true,Yahoo 期权链
期权,BTC/USDT,BTC/USDT,比特币,期权工具,加密期权,Deribit/Bybit,true,加密期权主市场
期权,ETH/USDT,ETH/USDT,以太坊,期权工具,加密期权,Deribit/Bybit,true,加密期权主市场
